"Time stamp","Electricity from system to load (year 1 hourly) | (kWh)"
"Jan 1, 12:00 am",0
"Jan 1, 01:00 am",0
"Jan 1, 02:00 am",0
"Jan 1, 03:00 am",0
"Jan 1, 04:00 am",0
"Jan 1, 05:00 am",0
"Jan 1, 06:00 am",0
"Jan 1, 07:00 am",0.116466
"Jan 1, 08:00 am",0.317969
"Jan 1, 09:00 am",0.47453
"Jan 1, 10:00 am",0.568699
"Jan 1, 11:00 am",0.608366
"Jan 1, 12:00 pm",0.604058
"Jan 1, 01:00 pm",0.531481
"Jan 1, 02:00 pm",0.444005
"Jan 1, 03:00 pm",0.25726
"Jan 1, 04:00 pm",0.0578385
"Jan 1, 05:00 pm",0
"Jan 1, 06:00 pm",0
"Jan 1, 07:00 pm",0
"Jan 1, 08:00 pm",0
"Jan 1, 09:00 pm",0
"Jan 1, 10:00 pm",0
"Jan 1, 11:00 pm",0
"Jan 2, 12:00 am",0
"Jan 2, 01:00 am",0
"Jan 2, 02:00 am",0
"Jan 2, 03:00 am",0
"Jan 2, 04:00 am",0
"Jan 2, 05:00 am",0
"Jan 2, 06:00 am",0
"Jan 2, 07:00 am",0.110467
"Jan 2, 08:00 am",0.0723933
"Jan 2, 09:00 am",0.121396
"Jan 2, 10:00 am",0.174857
"Jan 2, 11:00 am",0.419637
"Jan 2, 12:00 pm",0.491277
"Jan 2, 01:00 pm",0.522359
"Jan 2, 02:00 pm",0.464603
"Jan 2, 03:00 pm",0.266246
"Jan 2, 04:00 pm",0.069404
"Jan 2, 05:00 pm",0
"Jan 2, 06:00 pm",0
"Jan 2, 07:00 pm",0
"Jan 2, 08:00 pm",0
"Jan 2, 09:00 pm",0
"Jan 2, 10:00 pm",0
"Jan 2, 11:00 pm",0
"Jan 3, 12:00 am",0
"Jan 3, 01:00 am",0
"Jan 3, 02:00 am",0
"Jan 3, 03:00 am",0
"Jan 3, 04:00 am",0
"Jan 3, 05:00 am",0
"Jan 3, 06:00 am",0
"Jan 3, 07:00 am",0.0632707
"Jan 3, 08:00 am",0.092832
"Jan 3, 09:00 am",0.18308
"Jan 3, 10:00 am",0.461303
"Jan 3, 11:00 am",0.544788
"Jan 3, 12:00 pm",0.306452
"Jan 3, 01:00 pm",0.365016
"Jan 3, 02:00 pm",0.128447
"Jan 3, 03:00 pm",0.0627496
"Jan 3, 04:00 pm",0.0241182
"Jan 3, 05:00 pm",0
"Jan 3, 06:00 pm",0
"Jan 3, 07:00 pm",0
"Jan 3, 08:00 pm",0
"Jan 3, 09:00 pm",0
"Jan 3, 10:00 pm",0
"Jan 3, 11:00 pm",0
"Jan 4, 12:00 am",0
"Jan 4, 01:00 am",0
"Jan 4, 02:00 am",0
"Jan 4, 03:00 am",0
"Jan 4, 04:00 am",0
"Jan 4, 05:00 am",0
"Jan 4, 06:00 am",0
"Jan 4, 07:00 am",0.0339456
"Jan 4, 08:00 am",0.10693
"Jan 4, 09:00 am",0.146253
"Jan 4, 10:00 am",0.227001
"Jan 4, 11:00 am",0.247957
"Jan 4, 12:00 pm",0.246189
"Jan 4, 01:00 pm",0.231066
"Jan 4, 02:00 pm",0.158711
"Jan 4, 03:00 pm",0.147919
"Jan 4, 04:00 pm",0.0412335
"Jan 4, 05:00 pm",0
"Jan 4, 06:00 pm",0
"Jan 4, 07:00 pm",0
"Jan 4, 08:00 pm",0
"Jan 4, 09:00 pm",0
"Jan 4, 10:00 pm",0
"Jan 4, 11:00 pm",0
"Jan 5, 12:00 am",0
"Jan 5, 01:00 am",0
"Jan 5, 02:00 am",0
"Jan 5, 03:00 am",0
"Jan 5, 04:00 am",0
"Jan 5, 05:00 am",0
"Jan 5, 06:00 am",0
"Jan 5, 07:00 am",0.109719
"Jan 5, 08:00 am",0.315147
