t,TOD,c,dhsp,dcsp,d_hv,d_,soc,rmt,occ,hsp,csp,odt,tou,r
1,1,-2000.0,0.0,3.0,0.0,0.0,6750.0,68.0,true,68.0,70.0,66.0,0.28,560.0
2,2,-2000.0,0.0,3.0,400.0,10.0,4750.0,68.0,false,68.0,73.0,61.17862904341688,0.28,445.20000000000005
3,3,-2000.0,3.0,0.0,700.0,10.0,2750.0,68.0,false,68.0,76.0,64.36208907400098,0.28,490.2
4,4,-2000.0,0.0,3.0,800.0,10.0,750.0,71.59049106686669,true,71.0,76.0,71.59049106686669,0.38,-172.8
5,5,-2000.0,-3.0,0.0,100.0,10.0,0.0,76.62037170324838,true,71.0,79.0,76.62037170324838,0.38,-180.8
6,1,0.0,0.0,-3.0,100.0,10.0,0.0,68.0,true,68.0,79.0,65.58496300914132,0.28,-30.800000000000004
7,2,-2000.0,0.0,-3.0,600.0,10.0,0.0,68.0,false,68.0,76.0,58.871690860619466,0.28,-170.8
8,3,0.0,0.0,0.0,500.0,10.0,0.0,68.0,false,68.0,73.0,60.65133953738781,0.28,-193.8
9,4,0.0,-3.0,0.0,400.0,10.0,0.0,73.0,true,68.0,73.0,74.95659559240107,0.38,-305.8
10,5,0.0,3.0,0.0,0.0,10.0,0.0,73.0,true,65.0,73.0,73.08609038265949,0.38,-152.8
