t,TOD,c,dhsp,dcsp,d_hv,d_,soc,rmt,occ,hsp,csp,odt,tou,r
1,1,-3,-3,0,5,5,5,5,true,4,6,5,2,-14.0
2,2,3,1,-3,0,0,2,3,false,1,6,3,2,-30.0
3,3,3,0,0,0,2,5,3,false,2,3,5,5,-40.0
4,4,3,1,-3,2,3,8,3,true,2,3,7,5,-29.0
5,5,-3,3,0,6,2,10,1,true,3,1,7,2,-35.0
6,1,3,-3,0,6,0,7,1,true,6,1,4,2,-43.0
7,2,-3,3,0,3,1,10,1,false,3,1,3,2,-30.0
8,3,3,0,0,3,0,7,1,false,6,1,4,5,-55.0
9,4,0,-3,0,3,6,10,1,true,6,1,7,5,-43.0
10,5,-3,0,0,6,4,10,1,true,3,1,7,2,-39.0
11,1,0,0,-3,6,1,7,1,true,3,1,5,2,-39.0
12,2,0,3,0,4,0,7,1,false,3,1,2,2,-45.0
13,3,3,-3,0,2,5,7,1,false,6,1,4,5,-75.0
14,4,0,0,3,3,5,10,1,true,3,1,8,5,-41.0
15,5,-3,0,-3,4,1,10,4,true,3,4,7,2,-4.0
16,1,-3,3,0,6,2,7,1,true,3,1,3,2,-35.0
17,2,3,0,3,3,0,4,1,false,6,1,2,2,-55.0
18,3,3,0,0,1,0,7,4,false,6,4,3,5,-30.0
19,4,-3,0,0,1,4,10,4,true,6,4,8,5,-14.0
20,5,3,3,0,4,5,7,4,true,6,4,8,2,-34.0
